week,year,week_number,cough_medicine,flu_clinic,flu_shot,flu_vaccine,flu,influenza,oseltamivir,relenza,tamiflu,zanamivir
4/8/12,2012,15,73.75,0.0,4.0,6.666666666666667,8.076923076923077,7.252747252747253,10.0,0.0,2.0,0.0
4/15/12,2012,16,24.0,0.0,3.0,6.666666666666667,5.769230769230769,9.670329670329672,10.0,0.0,4.285714285714286,0.0
4/22/12,2012,17,22.5,0.0,2.0,5.0,4.615384615384615,9.065934065934066,10.0,0.0,1.9047619047619047,0.0
4/29/12,2012,18,24.0,0.0,2.0,11.666666666666666,4.615384615384615,19.945054945054945,10.0,0.0,1.9047619047619047,0.0
5/6/12,2012,19,15.567567567567568,0.0,6.545454545454546,6.533333333333333,4.266666666666667,27.866666666666667,9.0,0.0,4.0,0.0
5/13/12,2012,20,16.0,0.0,3.0,14.0,4.266666666666667,13.933333333333334,9.0,0.0,4.0,0.0
5/20/12,2012,21,32.0,0.0,2.1818181818181817,7.0,3.2,13.933333333333334,9.0,0.0,2.0,0.0
5/27/12,2012,22,16.43243243243243,0.0,3.272727272727273,7.466666666666667,4.266666666666667,20.266666666666666,9.0,0.0,2.0,0.0
6/3/12,2012,23,40.72727272727273,0.0,1.0,5.0,4.923076923076923,18.70769230769231,0.0,0.0,0.0,0.0
6/10/12,2012,24,24.0,0.0,3.0,20.0,4.923076923076923,22.646153846153847,0.0,0.0,0.0,0.0
6/17/12,2012,25,27.636363636363637,0.0,1.0,5.0,3.6923076923076925,14.76923076923077,0.0,0.0,0.0,0.0
6/24/12,2012,26,27.636363636363637,0.0,1.0,5.0,2.4615384615384617,7.876923076923077,0.0,0.0,0.0,0.0
7/1/12,2012,27,10.0,11.0,17.5,13.333333333333334,4.0,20.512820512820515,0.0,0.0,0.0,0.0
7/8/12,2012,28,10.0,11.0,5.0,4.0,3.0,10.256410256410257,0.0,0.0,0.0,0.0
7/15/12,2012,29,16.666666666666668,11.0,5.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0
7/22/12,2012,30,8.333333333333334,11.0,5.0,4.0,3.0,8.974358974358974,0.0,0.0,0.0,0.0
7/29/12,2012,31,25.0,11.0,7.5,6.666666666666667,4.0,10.256410256410257,0.0,0.0,0.0,0.0
8/5/12,2012,32,52.0,11.0,6.0,9.043478260869565,6.666666666666667,8.0,0.0,0.0,1.0,0.0
8/12/12,2012,33,26.0,11.0,6.0,16.956521739130434,4.0,5.333333333333333,0.0,0.0,1.0,0.0
8/19/12,2012,34,26.0,11.0,10.0,13.0,5.333333333333333,10.666666666666666,0.0,0.0,1.0,0.0
8/26/12,2012,35,52.0,44.0,10.0,26.0,8.0,6.0,0.0,0.0,1.0,0.0
9/2/12,2012,36,16.229508196721312,25.21186440677966,6.944444444444444,23.841059602649008,5.555555555555555,11.226415094339623,0.0,85.0,1.0,0.0
9/9/12,2012,37,30.65573770491803,35.0,24.305555555555554,35.76158940397351,7.4074074074074066,5.613207547169812,0.0,211.09271523178808,1.6666666666666667,0.0
9/16/12,2012,38,22.0,75.63559322033898,20.833333333333332,33.11258278145696,9.25925925925926,36.88679245283019,0.0,85.0,1.6666666666666667,0.0
9/23/12,2012,39,10.819672131147541,48.940677966101696,34.72222222222222,64.90066225165563,13.888888888888888,20.047169811320757,0.0,85.0,1.0,0.0
9/30/12,2012,40,52.295081967213115,25.21186440677966,38.19444444444444,42.384105960264904,13.888888888888888,11.226415094339623,0.0,213.90728476821192,1.6666666666666667,0.0
10/7/12,2012,41,48.83720930232558,80.0,92.23529411764706,109.57142857142857,19.28358208955224,18.307692307692307,0.0,80.0,1.4545454545454546,0.0
10/14/12,2012,42,23.72093023255814,182.4,64.0,57.57142857142857,19.28358208955224,15.076923076923077,0.0,80.0,1.4545454545454546,0.0
10/21/12,2012,43,47.44186046511628,80.0,84.70588235294117,65.0,18.26865671641791,30.153846153846153,0.0,320.0,1.0909090909090908,0.0
10/28/12,2012,44,30.0,57.6,47.05882352941177,27.857142857142858,11.164179104477611,20.46153846153846,0.0,80.0,1.0,0.0
11/4/12,2012,45,58.324022346368714,49.63265306122449,38.57142857142857,21.10144927536232,10.521739130434783,18.133333333333333,0.0,0.0,3.0,78.0
11/11/12,2012,46,17.094972067039105,102.36734693877551,25.714285714285715,43.82608695652174,11.478260869565217,18.133333333333333,0.0,0.0,2.823529411764706,78.0
11/18/12,2012,47,27.150837988826815,38.0,18.571428571428573,22.72463768115942,9.565217391304348,7.466666666666667,0.0,0.0,5.647058823529412,78.0
11/25/12,2012,48,77.43016759776536,38.0,37.142857142857146,24.347826086956523,12.434782608695652,36.266666666666666,0.0,0.0,3.5294117647058822,78.0
12/2/12,2012,49,41.77215189873417,62.83783783783783,36.529411764705884,28.333333333333336,20.43010752688172,56.666666666666664,4.0,0.0,11.0,0.0
12/9/12,2012,50,29.588607594936708,34.45945945945946,29.764705882352942,23.448275862068968,19.408602150537632,28.848484848484848,4.0,0.0,7.719298245614035,0.0
12/16/12,2012,51,53.95569620253164,14.189189189189188,18.941176470588236,9.770114942528737,15.32258064516129,17.515151515151516,11.25,0.0,12.543859649122806,0.0
12/23/12,2012,52,74.84177215189874,12.162162162162161,10.823529411764707,7.816091954022989,17.36559139784946,40.18181818181818,4.0,0.0,14.473684210526315,0.0
12/30/12,2012,1,74.84177215189874,26.35135135135135,18.941176470588236,15.632183908045977,22.473118279569892,26.78787878787879,8.75,0.0,20.263157894736842,0.0
1/6/13,2013,2,97.65853658536585,104.81889763779527,118.76271186440678,121.81673306772909,73.66153846153846,58.971830985915496,6.0,0.0,38.00858369098712,0.0
1/13/13,2013,3,90.14634146341463,86.67716535433071,130.5084745762712,95.04382470119522,87.6923076923077,74.64788732394366,6.0,0.0,70.3862660944206,0.0
1/20/13,2013,4,42.56910569105691,64.50393700787401,35.23728813559322,81.65737051792829,41.215384615384615,43.29577464788732,16.38095238095238,0.0,33.081545064377686,0.0
1/27/13,2013,5,77.6260162601626,64.0,23.491525423728813,37.48207171314741,25.43076923076923,35.08450704225352,7.619047619047619,0.0,22.523605150214593,0.0
2/3/13,2013,6,102.26666666666667,19.0,10.666666666666666,7.764705882352941,23.448275862068964,36.266666666666666,0.0,0.0,12.549019607843137,0.0
